Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)
LMJFC_340040700	LMJFC_340040700_t1	Leishmania major Friedlin 2021	OU755568:1,302,544..1,308,149(+)	hypothetical protein - conserved	LmxM.30.0800,LmxM.30.0820
LMJFC_340052000	LMJFC_340052000_t1	Leishmania major Friedlin 2021	OU755568:1,660,149..1,664,588(+)	ubiquitin hydrolase - putative	LmxM.33.4060
LMJFC_350057100	LMJFC_350057100_t1	Leishmania major Friedlin 2021	OU755569:1,704,625..1,707,379(+)	hypothetical protein - conserved	LmxM.34.4380
LMJFC_360020100	LMJFC_360020100_t1	Leishmania major Friedlin 2021	OU755570:481,376..486,999(+)	amastin-like surface protein-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_360020200	LMJFC_360020200_t1	Leishmania major Friedlin 2021	OU755570:487,320..491,070(+)	tuzin-like protein	LmxM.33.1590
LMJFC_360038000	LMJFC_360038000_t1	Leishmania major Friedlin 2021	OU755570:1,085,912..1,088,631(-)	cyclin-e binding protein 1-like protein	LmxM.36.2600
LMJFC_360067000	LMJFC_360067000_t1	Leishmania major Friedlin 2021	OU755570:2,001,211..2,004,445(-)	hypothetical protein - conserved	LmxM.03.0320
LMJFC_360085200	LMJFC_360085200_t1	Leishmania major Friedlin 2021	OU755570:2,587,806..2,589,301(-)	cop9 signalosome complex subunit - putative	LmxM.36.6510
LMJLV39_000006000	LMJLV39_000006000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000237:1..403(-)	hypothetical protein	LmxM.32.3070partial
LMJLV39_000006900	LMJLV39_000006900.1	Leishmania major strain LV39c5	LMJLV39_SCAF000313:550..1,743(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000007100	LMJLV39_000007100.1	Leishmania major strain LV39c5	LMJLV39_SCAF000321:538..4,101(+)	fucose kinase, putative	LmxM.16.0480
LMJLV39_000007500	LMJLV39_000007500.1	Leishmania major strain LV39c5	LMJLV39_SCAF000348:6..604(+)	tb-292 membrane associated protein-like protein	LmxM.15.0440
LMJLV39_000008900	LMJLV39_000008900.1	Leishmania major strain LV39c5	LMJLV39_SCAF000398:167..700(-)	Mucin-like glycoprotein, putative	LmxM.12.0890
LMJLV39_000009000	LMJLV39_000009000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000399:1..528(-)	hypothetical protein	LmxM.12.0890
LMJLV39_000009100	LMJLV39_000009100.1	Leishmania major strain LV39c5	LMJLV39_SCAF000403:1..528(-)	hypothetical protein	LmxM.12.0890
LMJLV39_000009200	LMJLV39_000009200.1	Leishmania major strain LV39c5	LMJLV39_SCAF000406:1..546(-)	hypothetical protein	LmxM.12.0890
LMJLV39_000010000	LMJLV39_000010000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000427:89..871(-)	hypothetical protein	LmxM.12.0890
LMJLV39_000010100	LMJLV39_000010100.1	Leishmania major strain LV39c5	LMJLV39_SCAF000442:504..944(-)	hypothetical protein	LmxM.17.0190,LmxM.17.0200
LMJLV39_000010400	LMJLV39_000010400.1	Leishmania major strain LV39c5	LMJLV39_SCAF000458:1..511(-)	hypothetical protein	LmxM.12.0890
LMJLV39_000011100	LMJLV39_000011100.1	Leishmania major strain LV39c5	LMJLV39_SCAF000479:258..1,097(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000011700	LMJLV39_000011700.1	Leishmania major strain LV39c5	LMJLV39_SCAF000497:9..1,082(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000011900	LMJLV39_000011900.1	Leishmania major strain LV39c5	LMJLV39_SCAF000503:4..927(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000013400	LMJLV39_000013400.1	Leishmania major strain LV39c5	LMJLV39_SCAF000550:283..1,380(+)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000013700	LMJLV39_000013700.1	Leishmania major strain LV39c5	LMJLV39_SCAF000553:1..1,272(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000016300	LMJLV39_000016300.1	Leishmania major strain LV39c5	LMJLV39_SCAF000593:258..1,690(+)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000016600	LMJLV39_000016600.1	Leishmania major strain LV39c5	LMJLV39_SCAF000600:1..1,549(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000016800	LMJLV39_000016800.1	Leishmania major strain LV39c5	LMJLV39_SCAF000603:265..1,761(+)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000017000	LMJLV39_000017000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000605:144..1,559(+)	hypothetical protein	LmxM.12.0890
LMJLV39_000017300	LMJLV39_000017300.1	Leishmania major strain LV39c5	LMJLV39_SCAF000610:99..1,652(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000017400	LMJLV39_000017400.1	Leishmania major strain LV39c5	LMJLV39_SCAF000611:144..1,622(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000017700	LMJLV39_000017700.1	Leishmania major strain LV39c5	LMJLV39_SCAF000617:102..1,700(-)	surface antigen protein 2, putative	LmxM.12.0890
LMJLV39_000018600	LMJLV39_000018600.1	Leishmania major strain LV39c5	LMJLV39_SCAF000635:403..2,085(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000018900	LMJLV39_000018900.1	Leishmania major strain LV39c5	LMJLV39_SCAF000638:638..2,167(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000019000	LMJLV39_000019000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000639:124..2,142(-)	surface antigen protein, putative	LmxM.12.0890
LMJLV39_000020600	LMJLV39_000020600.1	Leishmania major strain LV39c5	LMJLV39_SCAF000758:414..992(+)	amastin-like surface protein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_000020700	LMJLV39_000020700.1	Leishmania major strain LV39c5	LMJLV39_SCAF000759:420..998(+)	amastin-like surface protein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_000020800	LMJLV39_000020800.1	Leishmania major strain LV39c5	LMJLV39_SCAF000761:422..1,024(+)	amastin-like surface protein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_000020900	LMJLV39_000020900.1	Leishmania major strain LV39c5	LMJLV39_SCAF000764:438..1,013(+)	Amastin surface glycoprotein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_000021000	LMJLV39_000021000.1	Leishmania major strain LV39c5	LMJLV39_SCAF000767:473..1,048(+)	amastin-like surface protein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_000021200	LMJLV39_000021200.1	Leishmania major strain LV39c5	LMJLV39_SCAF000769:613..1,188(+)	amastin-like surface protein-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_020007900	LMJLV39_020007900.1	Leishmania major strain LV39c5	LmjLV39_02:114,665..122,563(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_020008000	LMJLV39_020008000.1	Leishmania major strain LV39c5	LmjLV39_02:126,369..128,453(-)	Soluble NSF attachment protein, SNAP, putative	LmxM.02.0310
LMJLV39_020009500	LMJLV39_020009500.1	Leishmania major strain LV39c5	LmjLV39_02:173,599..174,561(-)	amino acid permease, putative	LmxM.30.0350
LMJLV39_020011000	LMJLV39_020011000.1	Leishmania major strain LV39c5	LmjLV39_02:251,776..263,112(+)	hypothetical protein, conserved	LmxM.02.0580
LMJLV39_030006100	LMJLV39_030006100.1	Leishmania major strain LV39c5	LmjLV39_03:27,048..29,711(+)	hypothetical protein, conserved	LmxM.03.0110
LMJLV39_030006200	LMJLV39_030006200.1	Leishmania major strain LV39c5	LmjLV39_03:30,478..33,255(+)	hypothetical protein, conserved	LmxM.03.0120
LMJLV39_030007700	LMJLV39_030007700.1	Leishmania major strain LV39c5	LmjLV39_03:66,287..67,042(+)	FYVE zinc finger containing protein, putative	LmxM.03.0270
LMJLV39_030007800	LMJLV39_030007800.1	Leishmania major strain LV39c5	LmjLV39_03:74,132..75,937(+)	hypothetical protein, conserved	LmxM.03.0270
LMJLV39_030008300	LMJLV39_030008300.1	Leishmania major strain LV39c5	LmjLV39_03:93,023..96,121(+)	hypothetical protein, conserved	LmxM.03.0320
LMJLV39_030008600	LMJLV39_030008600.1	Leishmania major strain LV39c5	LmjLV39_03:102,396..106,976(+)	protein kinase, putative	LmxM.03.0350
LMJLV39_030008700	LMJLV39_030008700.1	Leishmania major strain LV39c5	LmjLV39_03:111,015..115,979(+)	hypothetical protein, conserved	LmxM.03.0360
LMJLV39_030009800	LMJLV39_030009800.1	Leishmania major strain LV39c5	LmjLV39_03:159,463..162,648(+)	hypothetical protein, conserved	LmxM.03.0460
LMJLV39_030010200	LMJLV39_030010200.1	Leishmania major strain LV39c5	LmjLV39_03:176,562..179,744(+)	hypothetical protein, conserved	LmxM.03.0490
LMJLV39_030010300	LMJLV39_030010300.1	Leishmania major strain LV39c5	LmjLV39_03:181,078..182,796(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJLV39_030010400	LMJLV39_030010400.1	Leishmania major strain LV39c5	LmjLV39_03:185,211..192,875(+)	hypothetical protein, conserved	LmxM.03.0510
LMJLV39_030010600	LMJLV39_030010600.1	Leishmania major strain LV39c5	LmjLV39_03:197,719..204,309(+)	hypothetical protein, conserved	LmxM.03.0530
LMJLV39_040016500	LMJLV39_040016500.1	Leishmania major strain LV39c5	LmjLV39_04:399,819..404,159(-)	hypothetical protein, conserved	LmxM.04.1090
LMJLV39_040017000	LMJLV39_040017000.1	Leishmania major strain LV39c5	LmjLV39_04:416,373..417,275(-)	hypothetical protein, conserved	LmxM.04.1140
LMJLV39_050012600	LMJLV39_050012600.1	Leishmania major strain LV39c5	LmjLV39_05:283,035..287,099(+)	hypothetical protein, conserved	LmxM.05.0770
LMJLV39_080012000	LMJLV39_080012000.1	Leishmania major strain LV39c5	LmjLV39_08:285,216..285,740(+)	hypothetical protein	LmxM.33.1590
LMJLV39_080012100	LMJLV39_080012100.1	Leishmania major strain LV39c5	LmjLV39_08:287,050..287,664(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_080012200	LMJLV39_080012200.1	Leishmania major strain LV39c5	LmjLV39_08:288,420..289,034(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_090021400	LMJLV39_090021400.1	Leishmania major strain LV39c5	LmjLV39_09:523,965..525,581(-)	Glycosyl hydrolase family 47, putative	LmxM.09.1400
LMJLV39_100005000	LMJLV39_100005000.1	Leishmania major strain LV39c5	LmjLV39_10:1..552(-)	Phosphate transporter family, putative	LmxM.03.0500
LMJLV39_100013200	LMJLV39_100013200.1	Leishmania major strain LV39c5	LmjLV39_10:329,615..331,081(-)	amino acid permease 24, putative	LmxM.10.0720
LMJLV39_110017300	LMJLV39_110017300.1	Leishmania major strain LV39c5	LmjLV39_11:411,074..416,668(+)	hypothetical protein, conserved	LmxM.11.1020
LMJLV39_110018500	LMJLV39_110018500.1	Leishmania major strain LV39c5	LmjLV39_11:453,078..454,436(+)	palmitoyl acyltransferase 7, putative	LmxM.11.1090
LMJLV39_110018600	LMJLV39_110018600.1	Leishmania major strain LV39c5	LmjLV39_11:456,831..458,270(+)	sterol 14-alpha-demethylase, putative	LmxM.11.1100
LMJLV39_110019000	LMJLV39_110019000.1	Leishmania major strain LV39c5	LmjLV39_11:467,094..470,582(+)	protein transport protein SEC31, putative	LmxM.11.1160
LMJLV39_110019700	LMJLV39_110019700.1	Leishmania major strain LV39c5	LmjLV39_11:490,848..496,574(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110019800	LMJLV39_110019800.1	Leishmania major strain LV39c5	LmjLV39_11:501,095..506,791(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110019900	LMJLV39_110019900.1	Leishmania major strain LV39c5	LmjLV39_11:509,152..509,436(+)	hypothetical protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110020000	LMJLV39_110020000.1	Leishmania major strain LV39c5	LmjLV39_11:509,715..510,203(+)	ABC transporter-like protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110020100	LMJLV39_110020100.1	Leishmania major strain LV39c5	LmjLV39_11:512,082..517,466(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110020300	LMJLV39_110020300.1	Leishmania major strain LV39c5	LmjLV39_11:526,294..532,212(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_110020900	LMJLV39_110020900.1	Leishmania major strain LV39c5	LmjLV39_11:551,707..552,309(+)	hypothetical protein, conserved	LmxM.11.1350
LMJLV39_110021300	LMJLV39_110021300.1	Leishmania major strain LV39c5	LmjLV39_11:559,695..560,855(+)	Variant SH3 domain containing protein, putative	LmxM.11.1380
LMJLV39_120012900	LMJLV39_120012900.1	Leishmania major strain LV39c5	LmjLV39_12:385,665..386,822(+)	surface antigen protein 2 precursor	LmxM.12.0890
LMJLV39_130015000	LMJLV39_130015000.1	Leishmania major strain LV39c5	LmjLV39_13:352,946..357,730(-)	hypothetical protein, conserved	LmxM.13.1080
LMJLV39_150005700	LMJLV39_150005700.1	Leishmania major strain LV39c5	LmjLV39_15:22,340..24,025(-)	hypothetical protein, conserved	LmxM.15.0070
LMJLV39_150006700	LMJLV39_150006700.1	Leishmania major strain LV39c5	LmjLV39_15:58,154..60,661(-)	zinc finger (CCCH type) protein, putative	LmxM.15.0160
LMJLV39_150008800	LMJLV39_150008800.1	Leishmania major strain LV39c5	LmjLV39_15:114,045..116,447(+)	hypothetical protein, conserved	LmxM.15.0290
LMJLV39_150009000	LMJLV39_150009000.1	Leishmania major strain LV39c5	LmjLV39_15:119,544..121,508(+)	hypothetical protein, conserved	LmxM.15.0310
LMJLV39_150010700	LMJLV39_150010700.1	Leishmania major strain LV39c5	LmjLV39_15:185,920..188,061(+)	hypothetical protein, conserved	LmxM.15.0490
LMJLV39_150010800	LMJLV39_150010800.1	Leishmania major strain LV39c5	LmjLV39_15:188,999..192,004(+)	metalloprotease, putative	LmxM.15.0500
LMJLV39_150011100	LMJLV39_150011100.1	Leishmania major strain LV39c5	LmjLV39_15:199,134..204,773(+)	hypothetical protein, conserved	LmxM.15.0530
LMJLV39_150011200	LMJLV39_150011200.1	Leishmania major strain LV39c5	LmjLV39_15:206,703..208,742(+)	hypothetical protein, conserved	LmxM.15.0540
LMJLV39_150012100	LMJLV39_150012100.1	Leishmania major strain LV39c5	LmjLV39_15:248,068..250,314(+)	hypothetical protein, conserved	LmxM.15.0630
LMJLV39_150013600	LMJLV39_150013600.1	Leishmania major strain LV39c5	LmjLV39_15:318,685..326,763(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_160009800	LMJLV39_160009800.1	Leishmania major strain LV39c5	LmjLV39_16:153,275..156,691(-)	fucose kinase, putative	LmxM.16.0480
LMJLV39_160010200	LMJLV39_160010200.1	Leishmania major strain LV39c5	LmjLV39_16:169,444..169,782(-)	hypothetical protein	LmxM.16.0480
LMJLV39_160013100	LMJLV39_160013100.1	Leishmania major strain LV39c5	LmjLV39_16:272,098..273,090(-)	transaldolase, putative	LmxM.16.0760
LMJLV39_170006100	LMJLV39_170006100.1	Leishmania major strain LV39c5	LmjLV39_17:31,950..36,083(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006400	LMJLV39_170006400.1	Leishmania major strain LV39c5	LmjLV39_17:44,032..44,475(-)	hypothetical protein	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006500	LMJLV39_170006500.1	Leishmania major strain LV39c5	LmjLV39_17:44,523..47,951(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006600	LMJLV39_170006600.1	Leishmania major strain LV39c5	LmjLV39_17:52,549..53,043(-)	hypothetical protein	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006700	LMJLV39_170006700.1	Leishmania major strain LV39c5	LmjLV39_17:53,178..53,674(-)	hypothetical protein	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006800	LMJLV39_170006800.1	Leishmania major strain LV39c5	LmjLV39_17:55,583..56,494(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170006900	LMJLV39_170006900.1	Leishmania major strain LV39c5	LmjLV39_17:57,159..58,844(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170007000	LMJLV39_170007000.1	Leishmania major strain LV39c5	LmjLV39_17:58,945..60,200(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170007100	LMJLV39_170007100.1	Leishmania major strain LV39c5	LmjLV39_17:60,403..61,446(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJLV39_170011000	LMJLV39_170011000.1	Leishmania major strain LV39c5	LmjLV39_17:243,132..246,704(-)	hypothetical protein, conserved	LmxM.17.0530
LMJLV39_170022200	LMJLV39_170022200.1	Leishmania major strain LV39c5	LmjLV39_17:643,826..648,355(+)	Ion transport protein, putative	LmxM.17.1440
LMJLV39_200016800	LMJLV39_200016800.1	Leishmania major strain LV39c5	LmjLV39_20:488,420..498,262(+)	phosphatidylinositol 3-kinase, putative	LmxM.20.1120
LMJLV39_200021700	LMJLV39_200021700.1	Leishmania major strain LV39c5	LmjLV39_20:661,490..664,351(-)	hypothetical protein, conserved	LmxM.20.1500
LMJLV39_210009600	LMJLV39_210009600.1	Leishmania major strain LV39c5	LmjLV39_21:131,196..132,437(+)	hypothetical protein, conserved	LmxM.21.0430
LMJLV39_220018700	LMJLV39_220018700.1	Leishmania major strain LV39c5	LmjLV39_22:524,226..525,425(-)	hypothetical protein, conserved	LmxM.22.1320
LMJLV39_220018800	LMJLV39_220018800.1	Leishmania major strain LV39c5	LmjLV39_22:528,327..533,012(-)	hypothetical protein, conserved	LmxM.22.1320
LMJLV39_220018900	LMJLV39_220018900.1	Leishmania major strain LV39c5	LmjLV39_22:537,328..539,910(-)	hypothetical protein, conserved	LmxM.22.1330
LMJLV39_220019000	LMJLV39_220019000.1	Leishmania major strain LV39c5	LmjLV39_22:539,963..541,972(-)	hypothetical protein, conserved	LmxM.22.1330
LMJLV39_220019200	LMJLV39_220019200.1	Leishmania major strain LV39c5	LmjLV39_22:548,325..549,512(-)	palmitoyl acyltransferase 11, putative	LmxM.11.1090
LMJLV39_220022500	LMJLV39_220022500.1	Leishmania major strain LV39c5	LmjLV39_22:657,080..658,240(+)	CobW/HypB/UreG, nucleotide-binding domain containing protein, putative	LmxM.22.1650
LMJLV39_230014800	LMJLV39_230014800.1	Leishmania major strain LV39c5	LmjLV39_23:314,332..315,999(-)	hypothetical protein, conserved	LmxM.23.0640
LMJLV39_230027100	LMJLV39_230027100.1	Leishmania major strain LV39c5	LmjLV39_23:754,932..757,829(+)	hypothetical protein, conserved	LmxM.23.1540
LMJLV39_230027200	LMJLV39_230027200.1	Leishmania major strain LV39c5	LmjLV39_23:758,777..761,161(+)	HAT (Half-A-TPR) repeats, putative	LmxM.23.1550
LMJLV39_240005000	LMJLV39_240005000.1	Leishmania major strain LV39c5	LmjLV39_24:2,245..3,723(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJLV39_240006300	LMJLV39_240006300.1	Leishmania major strain LV39c5	LmjLV39_24:36,050..36,889(+)	Calmodulin-binding, putative	LmxM.24.0100
LMJLV39_240010200	LMJLV39_240010200.1	Leishmania major strain LV39c5	LmjLV39_24:179,110..180,372(+)	hypothetical protein, conserved	LmxM.24.0470
LMJLV39_240010300	LMJLV39_240010300.1	Leishmania major strain LV39c5	LmjLV39_24:184,201..187,863(+)	Kelch motif/Galactose oxidase, central domain containing protein, putative	LmxM.24.0480
LMJLV39_240012500	LMJLV39_240012500.1	Leishmania major strain LV39c5	LmjLV39_24:262,801..263,325(+)	hypothetical protein, conserved	LmxM.24.0690
LMJLV39_240031300	LMJLV39_240031300.1	Leishmania major strain LV39c5	LmjLV39_24:862,139..863,554(+)	SpoU rRNA Methylase family, putative	LmxM.24.2340
LMJLV39_260012500	LMJLV39_260012500.1	Leishmania major strain LV39c5	LmjLV39_26:190,250..193,057(-)	sphingosine kinase A, B, putative	LmxM.26.0710
LMJLV39_260027700	LMJLV39_260027700.1	Leishmania major strain LV39c5	LmjLV39_26:812,403..824,891(+)	hypothetical protein, conserved	LmxM.26.2120
LMJLV39_270009900	LMJLV39_270009900.1	Leishmania major strain LV39c5	LmjLV39_27:145,578..153,905(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJLV39_270010000	LMJLV39_270010000.1	Leishmania major strain LV39c5	LmjLV39_27:153,923..154,510(+)	hypothetical protein	LmxM.15.0440
LMJLV39_270010100	LMJLV39_270010100.1	Leishmania major strain LV39c5	LmjLV39_27:156,722..159,982(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJLV39_270010300	LMJLV39_270010300.1	Leishmania major strain LV39c5	LmjLV39_27:167,044..185,538(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJLV39_270010500	LMJLV39_270010500.1	Leishmania major strain LV39c5	LmjLV39_27:196,728..210,905(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJLV39_270012200	LMJLV39_270012200.1	Leishmania major strain LV39c5	LmjLV39_27:261,577..262,096(+)	Transmembrane amino acid transporter protein, putative	LmxM.30.0350
LMJLV39_270012300	LMJLV39_270012300.1	Leishmania major strain LV39c5	LmjLV39_27:267,328..268,935(+)	amino acid permease, putative	LmxM.27.0680
LMJLV39_270015600	LMJLV39_270015600.1	Leishmania major strain LV39c5	LmjLV39_27:408,000..413,531(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_270015700	LMJLV39_270015700.1	Leishmania major strain LV39c5	LmjLV39_27:415,536..416,855(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_270026100	LMJLV39_270026100.1	Leishmania major strain LV39c5	LmjLV39_27:807,415..811,224(-)	hypothetical protein, conserved	LmxM.27.1895
LMJLV39_280039300	LMJLV39_280039300.1	Leishmania major strain LV39c5	LmjLV39_28:1,151,314..1,151,744(-)	hypothetical protein, conserved	LmxM.28.3030
LMJLV39_290011600	LMJLV39_290011600.1	Leishmania major strain LV39c5	LmjLV39_29:231,446..237,046(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJLV39_290011900	LMJLV39_290011900.1	Leishmania major strain LV39c5	LmjLV39_29:244,109..246,238(-)	phosphate transporter, putative	LmxM.03.0500
LMJLV39_290028000	LMJLV39_290028000.1	Leishmania major strain LV39c5	LmjLV39_29:877,143..879,587(-)	serine/threonine protein kinase, putative	LmxM.08_29.2020
LMJLV39_300017200	LMJLV39_300017200.1	Leishmania major strain LV39c5	LmjLV39_30:354,753..362,498(+)	IQ calmodulin-binding motif containing protein, putative	LmxM.29.1080
LMJLV39_300018900	LMJLV39_300018900.1	Leishmania major strain LV39c5	LmjLV39_30:424,678..425,919(+)	calcium-binding protein, putative	LmxM.29.1240
LMJLV39_310005000	LMJLV39_310005000.1	Leishmania major strain LV39c5	LmjLV39_31:2,785..5,097(-)	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	LmxM.30.0010
LMJLV39_310005200	LMJLV39_310005200.1	Leishmania major strain LV39c5	LmjLV39_31:9,076..12,150(-)	hypothetical protein, conserved	LmxM.30.0030
LMJLV39_310008100	LMJLV39_310008100.1	Leishmania major strain LV39c5	LmjLV39_31:73,503..74,528(-)	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative	LmxM.30.0280
LMJLV39_310008500	LMJLV39_310008500.1	Leishmania major strain LV39c5	LmjLV39_31:90,047..91,654(-)	amino acid permease, putative	LmxM.27.0680
LMJLV39_310008600	LMJLV39_310008600.1	Leishmania major strain LV39c5	LmjLV39_31:95,377..96,087(-)	Transmembrane amino acid transporter protein, putative	LmxM.30.0350
LMJLV39_310008700	LMJLV39_310008700.1	Leishmania major strain LV39c5	LmjLV39_31:102,254..103,657(-)	amino acid permease, putative	LmxM.30.0350
LMJLV39_310008800	LMJLV39_310008800.1	Leishmania major strain LV39c5	LmjLV39_31:107,339..108,874(-)	amino acid permease, putative	LmxM.30.0350
LMJLV39_310008900	LMJLV39_310008900.1	Leishmania major strain LV39c5	LmjLV39_31:110,264..113,239(-)	CRAL/TRIO domain containing protein, putative	LmxM.30.0360
LMJLV39_310009900	LMJLV39_310009900.1	Leishmania major strain LV39c5	LmjLV39_31:151,467..152,060(-)	amastin, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJLV39_310013700	LMJLV39_310013700.1	Leishmania major strain LV39c5	LmjLV39_31:289,892..292,102(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJLV39_310013800	LMJLV39_310013800.1	Leishmania major strain LV39c5	LmjLV39_31:293,543..295,432(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJLV39_310013900	LMJLV39_310013900.1	Leishmania major strain LV39c5	LmjLV39_31:297,822..298,568(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJLV39_310031500	LMJLV39_310031500.1	Leishmania major strain LV39c5	LmjLV39_31:1,075,719..1,082,120(-)	hypothetical protein, conserved	LmxM.30.2220
LMJLV39_310041700	LMJLV39_310041700.1	Leishmania major strain LV39c5	LmjLV39_31:1,399,355..1,400,653(-)	iron/zinc transporter protein-like protein	LmxM.30.3060,LmxM.30.3070
LMJLV39_310041800	LMJLV39_310041800.1	Leishmania major strain LV39c5	LmjLV39_31:1,403,482..1,404,780(-)	iron/zinc transporter protein-like protein	LmxM.30.3060,LmxM.30.3070
LMJLV39_320025600	LMJLV39_320025600.1	Leishmania major strain LV39c5	LmjLV39_32:748,848..750,200(-)	hypothetical protein, conserved	LmxM.31.1910
LMJLV39_330019100	LMJLV39_330019100.1	Leishmania major strain LV39c5	LmjLV39_33:445,452..445,895(+)	hypothetical protein, conserved	LmxM.32.1160
